Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
2086,Thanks a lot.,Ross,anger,negative,206,15,1,23,"0:08:45,107","0:08:45,983"
2087,See what you did.,Susan,anger,negative,206,16,1,23,"0:08:45,983","0:08:46,669"
2088,"Yeah, listen...",Ross,neutral,neutral,206,17,1,23,"0:08:46,776","0:08:47,694"
2089,Out,Carol,anger,negative,206,18,1,23,"0:08:47,694","0:08:49,225"
2090,"Oh, and I can also speak a little French. Voulez-vous coucher avec moi ce soir?  Why? What did I say?",Monica,joy,positive,207,0,3,15,"00:14:12,393","00:14:21,192"
2091,"Well, you just asked if I wanted to go to bed with you tonight.",Mischa,neutral,neutral,207,1,3,15,"00:14:21,360","00:14:24,779"
2092,Oh my God! No wonder I get such great service at Cafe Maurice.,Monica,surprise,positive,207,2,3,15,"00:14:28,534","00:14:33,872"
2093,"Knock, knock, knock, knock, hi.",Phoebe,neutral,neutral,207,3,3,15,"00:14:32,454","00:14:33,872"
2094,"Um, could you please tell Sergei that um, I was fascinated by what Boutros Boutros Gali said in the New York Times.",Phoebe,neutral,neutral,207,4,3,15,"00:14:34,123","00:14:42,088"
2095,You didnt say Boutros Boutros Gali.,Phoebe,neutral,neutral,207,5,3,15,"0:14:45,676","0:14:47,698"
2096,Boutros Boutros Gali.,Mischa,neutral,neutral,207,6,3,15,"0:14:47,698","0:14:48,557"
2097,He says he was too.,Mischa,neutral,neutral,207,7,3,15,"00:14:53,058","00:14:54,225"
2098,Interesting.,Phoebe,neutral,neutral,207,8,3,15,"00:14:54,393","00:14:56,311"
2099,So I was wondering....,Mischa,neutral,neutral,207,9,3,15,"00:14:57,521","00:14:59,772"
2100,"Okay, ah, before you get all talky again, umm, could you also please tell Sergei that I really like his suit.",Phoebe,joy,positive,207,10,3,15,"00:14:59,940","00:15:09,282"
2101,"Eh, he said, thank you very much, he thinks you look very pretty tonight, your hair, golden like the sun.",Mischa,joy,positive,207,11,3,15,"00:15:22,838","00:15:28,343"
2102,So you're a chef?,Mischa,neutral,neutral,207,12,3,15,"00:15:25,925","00:15:28,343"
2103,Im also thinking about opening up my own restaurant.,Monica,joy,positive,207,13,3,15,"00:15:29,845","00:15:32,221"
2104,"Oh, really.",Mischa,surprise,positive,207,14,3,15,"00:15:32,389","00:15:33,890"
2105,"Monica, can I talk to you behind my menu, please.  What are you doing?",Phoebe,neutral,neutral,207,15,3,15,"00:15:34,058","00:15:36,017"
2106,"Well, I was having a conversation.",Monica,neutral,neutral,207,16,3,15,"00:15:39,271","00:15:42,398"
2107,"Yeah but, Mischa is so interested in you, that Sergei and I havent been able to say two words to each other.",Phoebe,anger,negative,207,17,3,15,"00:15:42,566","00:15:50,990"
2108,What do you want me to do? Just sit here silently while you three have a conversation?,Monica,anger,negative,207,18,3,15,"00:15:47,821","00:15:50,990"
2109,That would be great. Thank you.,Phoebe,neutral,neutral,207,19,3,15,"00:15:51,158","00:15:52,867"
2110,so we finally get to the top of the mountain and airhead here  forgets the camera!,Danny,disgust,negative,208,0,5,10,"00:15:09,575","00:15:15,496"
2111,"Oh, y'know the same thing happened to me one time.",Joey,neutral,neutral,208,1,5,10,"00:15:15,506","00:15:18,666"
2112,When did that happen to you?!,Chandler,surprise,negative,208,2,5,10,"00:15:19,960","00:15:22,670"
2113,Don't you remember when we were jogging in the park and we saw that really pretty bird and wanted to take a pictureI didn't have my camera!,Joey,neutral,neutral,208,3,5,10,"00:15:23,088","00:15:29,427"
2114,"Oh yeah. First off all, chasing the Churo guy isn't jogging.",Chandler,disgust,negative,208,4,5,10,"00:15:29,595","00:15:33,056"
2115,"Oh, this is so good  you have got to try it.",Krista,joy,positive,208,5,5,10,"00:15:34,725","00:15:38,019"
2116,"Oh, damn! I got it on my pants.",Danny,anger,negative,208,6,5,10,"0:15:49,031","0:15:51,242"
2117,"Here, I'll get it.",Krista,neutral,neutral,208,7,5,10,"0:15:51,242","0:15:52,177"
2118,We'd better take these pants off upstairs or that stain's gonna set.,Krista,neutral,neutral,208,8,5,10,"00:16:01,335","00:16:03,586"
2119,Yep.  I'm gonna wear these on our date tonight.,Danny,joy,positive,208,9,5,10,"0:16:03,754","0:16:05,506"
2120,"Oh, great!",Rachel,surprise,positive,208,10,5,10,"0:16:05,506","0:16:07,062"
2121,"Okay, bye!  Oh my God!!",Chandler,joy,positive,208,11,5,10,"00:16:08,092","00:16:10,677"
2122,That was unbelievable!,Monica,surprise,negative,208,12,5,10,"0:16:11,887","0:16:13,306"
2124,"Yeah, wow, sorry Rach.",Joey,sadness,negative,208,14,5,10,"0:16:14,723","0:16:16,350"
2125,I don't believe they're brother and sister.,Chandler,surprise,negative,208,15,5,10,"0:16:16,350","0:16:17,992"
2126,They're brother and sister!!!,Joey,surprise,negative,208,16,5,10,"0:16:17,992","0:16:18,186"
2127,Action!,The Director,neutral,neutral,209,0,6,4,"00:17:58,243","00:17:59,535"
2128,I found the picture!,Richard,anger,negative,210,0,7,23,"00:18:11,006","00:18:12,799"
2129,What picture?!,Joey,surprise,negative,210,1,7,23,"00:18:13,342","00:18:15,426"
2130,The picture of my wife! In your pack!,Richard,anger,negative,210,2,7,23,"00:18:16,553","00:18:19,597"
2131,You went through my personal property?,Joey,anger,negative,210,3,7,23,"00:18:20,265","00:18:22,934"
2132,Why do have a picture of Paulette in your pack?!,Richard,anger,negative,210,4,7,23,"00:18:24,311","00:18:27,814"
2133,"Because Vincent, we were lovers.  For two years!",Joey,anger,negative,210,5,7,23,"00:18:31,068","00:18:37,532"
2134,Cut! Wonderful!,The Director,joy,positive,210,6,7,23,"00:18:37,741","00:18:40,451"
2135,Great scene yeah?,Joey,joy,positive,210,7,7,23,"00:18:43,372","00:18:44,705"
2136,"Oh youre awesome! And, in that last speech? You soaked me.",Richard,joy,positive,210,8,7,23,"00:18:44,957","00:18:48,584"
2138,Heres your call sheet for tomorrow.,The Assistant Director,neutral,neutral,210,9,7,23,"00:18:49,169","00:18:52,255"
2139,I know.,Phoebe,neutral,neutral,210,10,7,23,"00:20:04,828","00:20:07,997"
2140,"So Chandler, your parents mustve been thrilled when you told them you were engaged.",Mrs. Geller,joy,positive,211,0,7,2,"00:09:26,023","00:09:29,734"
2141,"Oh yeah, I should probably call them.",Chandler,neutral,neutral,211,1,7,2,"00:09:29,986","00:09:32,195"
2142,I remember when we first got engaged.,Mr. Geller,joy,positive,211,2,7,2,"00:09:33,239","00:09:35,490"
2143,"Oh, I dont think I ever heard that story.",Chandler,neutral,neutral,211,3,7,2,"0:09:35,700","0:09:37,222"
2145,"Well, Id gotten Judy pregnant. I still dont know how that happened.",Mr. Geller,joy,positive,211,5,7,2,"00:09:38,077","00:09:43,999"
2146,You dont know how that happened?! Your dog thought my diaphragm was a chew toy!,Mrs. Geller,disgust,negative,211,6,7,2,"00:09:44,166","00:09:48,503"
2147,What a sweet story.,Chandler,neutral,neutral,211,7,7,2,"00:09:51,507","00:09:53,258"
2148,"Well, at least youre not hearing it for the first time at your fifth grade Halloween party.",Monica,disgust,negative,211,8,7,2,"00:09:54,343","00:09:57,220"
2149,What?! They wanted a scary story!,Mr. Geller,surprise,positive,211,9,7,2,"00:09:57,471","00:09:59,097"
2150,"Anyway, were really excited about our wedding plans, and well I guess pretty soon well be making a big withdrawal from the Monica wedding fund.",Monica,joy,positive,211,10,7,2,"00:10:00,725","00:10:09,190"
2151,What?,Monica,surprise,negative,211,11,7,2,"0:10:12,278","0:10:13,154"
2152,"You tell her Jack, I cant do it.",Mrs. Geller,fear,negative,211,12,7,2,"0:10:13,154","0:10:14,981"
2153,What happened? You still have the Monica wedding fund dont you?,Monica,surprise,negative,211,13,7,2,"00:10:15,197","00:10:17,699"
2154,"We have it. Only now, we call it the beach house.",Mr. Geller,neutral,neutral,211,14,7,2,"00:10:17,867","00:10:21,119"
2155,"After applying the Waxine and linen strips to leg number one,",Phoebe,neutral,neutral,212,0,3,16,"00:07:25,945","00:07:28,905"
2156,Did that!,Monica,joy,positive,212,1,3,16,"00:07:29,073","00:07:30,532"
2157,Grasp one of the linen strips by its easy grab tab and pull it off in one quick pain free motion.,Phoebe,neutral,neutral,212,2,3,16,"00:07:31,367","00:07:37,706"
2158,Okay.  Ow!!!!! Ow-oh-oh!,Monica,surprise,negative,212,3,3,16,"00:07:38,207","00:07:43,044"
2159,Was it not pain-free?,Phoebe,surprise,negative,212,4,3,16,"00:07:41,544","00:07:43,044"
2160,"No. It was painful. Oh my God , they should call it Pain-zine, now with a little wax.",Monica,disgust,negative,212,5,3,16,"00:07:44,380","00:07:50,010"
2161,"Huh, well, the girls in the satin nighties on the commercial dont seem to think its that bad.",Phoebe,neutral,neutral,212,6,3,16,"00:07:51,637","00:07:55,515"
2162,Thats because their nerves are probably deadened from being so stupid.,Monica,anger,negative,212,7,3,16,"00:07:55,683","00:07:58,852"
2163,"But hey, y'know if you dont believe me, please, by my guest.",Monica,neutral,neutral,212,8,3,16,"00:08:00,605","00:08:04,858"
2164,Ow-ow-ow-ow! Oh my God!!!,Phoebe,surprise,negative,212,9,3,16,"00:08:06,777","00:08:08,987"
2170,"Now umm, remember Im still learning.",Ross,neutral,neutral,213,0,7,15,"00:21:21,113","00:21:24,865"
2171,"One, two, three, four!",Ross,neutral,neutral,213,1,7,15,"00:21:34,584","00:21:36,794"
2172,You know the song! Sing along!,Ross,joy,positive,213,2,7,15,"00:21:54,980","00:21:57,481"
2173,So?,Ross,neutral,neutral,213,3,7,15,"00:22:14,708","00:22:15,916"
2174,No!,Chandler,sadness,negative,213,4,7,15,"00:22:16,626","00:22:17,793"
2175,Oh my God! Thats David!,Phoebe,surprise,positive,214,0,7,11,"00:08:45,608","00:08:47,234"
2176,David who?,Monica,neutral,neutral,214,1,7,11,"00:08:47,610","00:08:49,402"
2177,"David the scientist guy, David that I was in love with, David who went to Russia and broke my heart David!",Phoebe,sadness,negative,214,2,7,11,"00:08:49,570","00:08:55,700"
2178,Oh my God!,David,surprise,positive,214,3,7,11,"00:08:54,617","00:08:55,700"
2179,"Oh, you say someones name enough, they turn around.",Phoebe,neutral,neutral,214,4,7,11,"00:08:55,868","00:08:58,078"
2180,Phoebe?,David,surprise,positive,214,5,7,11,"00:09:01,082","00:09:03,708"
2181,David!  What-what are you doing here? Arent you supposed to be in Russia?,Phoebe,surprise,positive,214,6,7,11,"00:09:06,337","00:09:09,464"
2182,"Yeah, Im just, Im just in town for a conference. Umm,",David,neutral,neutral,214,7,7,11,"00:09:09,632","00:09:12,008"
2183,Well Yeah. You look great too. Did you get a haircut?,Phoebe,joy,positive,214,8,7,11,"00:09:17,139","00:09:22,018"
2184,Yeah. Well I-I got like thirty of them.,David,neutral,neutral,214,9,7,11,"00:09:22,311","00:09:24,771"
2185,Yeah.,Phoebe,neutral,neutral,214,10,7,11,"00:09:24,939","00:09:26,273"
2186,Yes! Santa's coming!,Ross,joy,positive,215,0,7,10,"00:06:48,324","00:06:51,785"
2187,"Hey, uh, Im really, really sorry about what happened in the cafeteria today.",Ross,sadness,negative,216,0,6,1,"0:01:12,739","0:01:23,167"
2188,"Its no big deal. Hey, yknow, you do what you gotta do. Right?",Joey,neutral,neutral,216,1,6,1,"0:01:23,167","0:01:23,306"
2189,"But hey, its not just me, I mean the scientists and the tour guides",Ross,neutral,neutral,216,2,6,1,"00:04:35,024","00:04:40,028"
2190,Whatever.,Joey,neutral,neutral,217,0,2,16,"00:16:03,879","00:16:04,963"
2192,"Okay, Mon, back me up here.",Ross,neutral,neutral,218,1,4,11,"0:12:18,112","0:12:19,338"
2193,"Where you work the uh, waiters eat with the waiters, right?",Ross,neutral,neutral,218,2,4,11,"00:12:19,488","00:12:22,657"
2194,"And the chefs eat with the other chefs, right?",Ross,neutral,neutral,218,3,4,11,"00:12:22,867","00:12:25,368"
2195,I eat by myself in the alley because everybody hates me.,Monica,sadness,negative,218,4,4,11,"00:12:25,661","00:12:29,998"
2196,"Look, Ross, really its-its no big deal.",Joey,neutral,neutral,218,5,4,11,"00:12:32,293","00:12:38,339"
2197,"Yknow you wear a white coat, I wear a blue blazer, if that means we cant be friends at work, then so be it.",Joey,sadness,negative,218,6,4,11,"00:12:35,880","00:12:42,302"
2198,"Yknow, hey I understand.",Joey,neutral,neutral,218,7,4,11,"0:12:42,511","0:12:43,683"
2199,Yknow?,Joey,neutral,neutral,218,8,4,11,"0:12:43,683","0:12:43,984"
2200,"Hey, when Im in a play and youre in the audience, I dont talk to you, right?",Joey,neutral,neutral,218,9,4,11,"00:12:44,221","00:12:48,933"
2201,"So its yknow, its uh, its cool.",Joey,neutral,neutral,218,10,4,11,"00:12:49,852","00:12:52,187"
2202,Ill see you tomorrow.,Joey,neutral,neutral,218,11,4,11,"00:12:52,438","00:12:53,938"
2203,"Yeah, when were in the audience he doesnt talk to us, but he does wave.",Rachel,neutral,neutral,218,12,4,11,"00:12:57,067","00:13:00,069"
2204,You did look like an idiot.,Chandler,joy,positive,219,0,5,8,"00:06:44,612","00:06:46,780"
2205,"Hey, I wasn't the only one who looked like an idiot.",Joey,neutral,neutral,219,1,5,8,"0:06:47,949","0:06:50,202"
2206,All right?,Joey,neutral,neutral,219,2,5,8,"0:06:50,202","0:06:50,606"
2207,"Remember when Ross tried to say, ""Butternut squash?""",Joey,joy,positive,219,3,5,8,"00:06:51,285","00:06:53,912"
2208,"And it came out, ""Squatternut buash?""",Joey,joy,positive,219,4,5,8,"00:06:54,080","00:06:57,499"
2209,Yeah that's the same.,Ross,neutral,neutral,219,5,5,8,"00:06:59,919","00:07:02,170"
2210,That's it. That's my worse Thanksgiving.,Monica,sadness,negative,219,6,5,8,"00:07:04,006","00:07:05,799"
2211,Oh wait! That can't be the one Rachel's talking about. She didn't even know that happened. So which one was it?,Phoebe,neutral,neutral,219,7,5,8,"00:07:05,967","00:07:13,723"
2213,"Umm, I-I really don't want to tell this story.",Monica,sadness,negative,219,8,5,8,"00:07:13,891","00:07:16,351"
2214,"Oh, come on Monica, reliving past pain and getting depressed is what Thanksgiving is all about.",Chandler,neutral,neutral,219,9,5,8,"00:07:16,519","00:07:21,648"
2215,"Y'know, for me anyway.",Chandler,sadness,negative,219,10,5,8,"0:07:22,859","0:07:24,381"
2216,"And of course, the Indians.",Chandler,sadness,negative,219,11,5,8,"0:07:24,381","0:07:25,783"
2217,"Look umm, of all people, you do not want me to tell this story!",Monica,anger,negative,219,12,5,8,"00:07:27,363","00:07:30,240"
2218,"Hi, guys.",Phoebe,neutral,neutral,220,0,4,22,"00:10:38,471","00:10:39,471"
2219,Hi! Phoebe.,Rachel,joy,positive,220,1,4,22,"0:10:39,639","0:10:40,265"
2220,Hi Phoebe.,Monica,neutral,neutral,220,2,4,22,"0:10:40,265","0:10:42,119"
2221,"I-I wanted to apologise if Iyknow seemed a tad edgy yesterday at my shower. Yknow its just the hormones, yknow.",Phoebe,sadness,negative,220,3,4,22,"00:10:42,433","00:10:51,399"
2222,No we,Rachel,neutral,neutral,220,4,4,22,"0:10:51,609","0:10:52,321"
2223,Hormones.,Monica,neutral,neutral,220,5,4,22,"0:10:52,321","0:10:52,905"
2224,"hormones, yeah.",Rachel,neutral,neutral,220,6,4,22,"0:10:52,905","0:10:54,073"
2225,Your parents?,Rachel,neutral,neutral,221,0,4,18,"0:11:49,083","0:11:49,685"
2226,"Yeah, theyre out of town.",Joshua,neutral,neutral,221,1,4,18,"0:11:49,685","0:11:50,769"
2227,Ohh.,Rachel,surprise,positive,221,2,4,18,"00:11:50,876","00:11:52,585"
2228,"Yeah-yeah, its this",Joshua,neutral,neutral,221,3,4,18,"00:11:52,753","00:11:56,673"
2229,Yeah that works.,Rachel,neutral,neutral,221,4,4,18,"00:12:00,000","00:12:02,387"
2230,They-they-they can smell fear.,Joshua,fear,negative,221,5,4,18,"00:12:04,682","00:12:06,015"
2231,Bing! Ho! And the Bing-ette!,Doug,joy,positive,222,0,8,11,"00:03:38,593","00:03:41,970"
2232,"Honey, you remember my boss Doug right?",Chandler,neutral,neutral,222,1,8,11,"0:03:42,138","0:03:44,307"
2233,"Yes, hi.",Monica,neutral,neutral,222,2,8,11,"0:03:44,307","0:03:44,886"
2234,"Hi. So good news, the divorce is final. I signed the papers this A.M.",Doug,joy,positive,222,3,8,11,"00:03:44,974","00:03:49,394"
2235,"I didnt know you and Carol were getting divorced, Im sorry.",Chandler,sadness,negative,222,4,8,11,"00:03:49,562","00:03:52,022"
2236,"Sorry? Finally chewed my leg out of that bear trap. Hey, congratulations to you guys though!",Doug,joy,positive,222,5,8,11,"00:03:52,190","00:04:01,365"
2237,No leg-chewing for us sir.,Monica,neutral,neutral,222,6,8,11,"00:03:56,653","00:04:01,365"
2238,"Oh well, give it time.",Doug,neutral,neutral,222,7,8,11,"00:04:01,532","00:04:03,200"
2239,"So the divorce, the marriage, weve got a lot to celebrate.",Doug,joy,positive,222,8,8,11,"00:04:04,452","00:04:08,622"
2240,How about we all go out to dinner tomorrow night?,Doug,neutral,neutral,222,9,8,11,"00:04:08,790","00:04:11,667"
2242,"Tomorrow night it is then, I should be out of court by six.",Doug,joy,positive,222,11,8,11,"00:04:17,548","00:04:25,847"
2243,They keep throwing these sexual harassment cases at me and I keep knocking them out of the park!,Doug,joy,positive,222,12,8,11,"00:04:20,551","00:04:25,847"
2244,"Okay, Ill see you tomorrow!",Monica,joy,positive,222,13,8,11,"00:04:26,015","00:04:28,058"
2245,"Just so you know, were not seeing him tomorrow.",Monica,neutral,neutral,222,14,8,11,"00:04:28,226","00:04:31,019"
2246,I-I cannot spend another evening with that man.,Monica,disgust,negative,222,15,8,11,"00:04:32,021","00:04:34,106"
2247,Do you remember how he behaved at our wedding?,Monica,disgust,negative,222,16,8,11,"00:04:34,274","00:04:36,275"
2248,No.,Chandler,neutral,neutral,222,17,8,11,"00:04:36,442","00:04:38,694"
2249,Thats because he wasnt invited because of the way he behaved at our engagement party.,Monica,disgust,negative,222,18,8,11,"00:04:36,442","00:04:41,905"
2250,"Oh yeah. Boy, urine cuts",Chandler,disgust,negative,222,19,8,11,"00:04:42,073","00:04:46,326"
2251,"Now maybe you just like wanna but the whole duck in there! Who cares, y'know? Now I got the legs",Emeril,neutral,neutral,223,0,5,4,"00:12:18,279","00:12:24,409"
2252,"How many times have I told you guys, you",Chandler,neutral,neutral,223,1,5,4,"00:12:27,121","00:12:32,167"
2253,Hi Chandler.,Monica,neutral,neutral,223,2,5,4,"0:12:33,043","0:12:33,895"
2254,Hey!,Chandler,neutral,neutral,223,3,5,4,"0:12:33,895","0:12:34,772"
2255,"Uh, listen, I need that broiling pan that Joey borrowed the other day.",Monica,neutral,neutral,223,4,5,4,"00:12:34,879","00:12:37,714"
2256,"Oh that was yours? Uh, yeah, we used it when the duck was throwing up caterpillars.",Chandler,sadness,negative,223,5,5,4,"00:12:37,882","00:12:47,432"
2257,William Sonoma,Monica,neutral,neutral,223,6,5,4,"00:12:44,430","00:12:47,432"
2258,Expect it in 4-6 weeks.,Chandler,neutral,neutral,223,7,5,4,"00:12:47,600","00:12:49,225"
2259,"Umm, hey, umm, Joey's gonna be at the telethon for the rest of the day, we have the whole place to ourselves.",Chandler,neutral,neutral,223,8,5,4,"00:12:50,936","00:12:59,277"
2260,"Yeah, so?",Monica,neutral,neutral,223,9,5,4,"00:12:57,777","00:12:59,277"
2261,"Well I just, thought maybe you'd wanna book some time with the best you'd ever had.",Chandler,neutral,neutral,223,10,5,4,"00:12:59,445","00:13:04,574"
2262,"Y'know what, champ? I think I'll pass.",Monica,neutral,neutral,223,11,5,4,"00:13:05,618","00:13:09,037"
2263,Why?,Chandler,surprise,positive,223,12,5,4,"0:13:09,538","0:13:10,050"
2264,Why?,Monica,neutral,neutral,223,13,5,4,"0:13:10,050","0:13:12,099"
2265,What's your point?,Chandler,neutral,neutral,223,14,5,4,"00:13:25,054","00:13:26,679"
2266,"So uh, whats your name?",Joey,neutral,neutral,224,0,7,22,"00:05:35,335","00:05:41,840"
2267,It's Jake.,Man,neutral,neutral,224,1,7,22,"00:05:39,589","00:05:41,840"
2268,"Joey.  Hey Jake, do you like the Knicks?",Joey,neutral,neutral,224,2,7,22,"00:05:39,589","00:05:44,551"
2269,"Yeah, big fan.",Jake,neutral,neutral,224,3,7,22,"00:05:42,008","00:05:44,551"
2270,"Me too! Theres a game on Tuesday, do you wanna go?",Joey,joy,positive,224,4,7,22,"00:05:44,719","00:05:48,388"
2271,Yeah that would be great! Let me make sure Im not doing anything Tuesday.,Jake,joy,positive,224,5,7,22,"00:05:48,556","00:06:05,739"
2272,Ugh.  Ross!,Carol,disgust,negative,225,0,3,17,"00:21:58,608","00:22:00,735"
2273,Hi! Sorry Im late. Were you sleeping?,Ross,neutral,neutral,225,1,3,17,"00:21:58,608","00:22:03,446"
2274,"Ahh, nooo!!",Carol,joy,positive,225,2,3,17,"00:22:02,000","00:22:03,446"
2275,"Oh, great!",Ross,joy,positive,225,3,3,17,"00:22:03,613","00:22:04,989"
2276,"Listen, oh I had to get you a whole new battery.",Ross,neutral,neutral,225,4,3,17,"00:22:06,158","00:22:09,452"
2277,"I got you the best one I could, cause thats not where you want to skimp.",Ross,neutral,neutral,225,5,3,17,"00:22:06,158","00:22:11,495"
2278,"Youre a genius, Ross.",Carol,joy,positive,225,6,3,17,"00:22:11,705","00:22:12,830"
2279,"Yeah, well it came to about $112, but what the hell, just call it an even 110?",Ross,neutral,neutral,225,7,3,17,"00:22:13,081","00:22:20,629"
2280,"Okay, Ill pay you tomorrow.",Carol,neutral,neutral,225,8,3,17,"00:22:18,587","00:22:20,629"
2283,"So they ah, they all took off, it was pretty hard watching them go, y'know?",Ross,sadness,negative,225,9,3,17,"00:22:20,839","00:22:26,635"
2284,"Yeah, okay, bye.",Carol,neutral,neutral,225,10,3,17,"00:22:26,887","00:22:28,471"
2285,So Im gonna take off then!,Ross,neutral,neutral,225,11,3,17,"00:22:32,517","00:22:34,769"
2286,"Hey! Oh right, tonight was your party.",Rachel,surprise,positive,226,0,5,7,"00:18:30,192","00:18:33,194"
2287,"Oh wow, you look great! Glad you could make it.",Danny,joy,positive,226,1,5,7,"00:18:33,403","00:18:35,530"
2288,"Oh well, y'know, the gala had to end sometime.",Rachel,neutral,neutral,226,2,5,7,"00:18:35,739","00:18:39,492"
2289,"Don't go anywhere, I'll be right back.",Danny,neutral,neutral,226,3,5,7,"00:18:39,660","00:18:41,577"
2290,"Yeah, sure.  All right, whose court is the ball in now?",Rachel,neutral,neutral,226,4,5,7,"00:18:41,745","00:18:47,708"
2291,I thought there wasn't a ball?,Monica,neutral,neutral,226,5,5,7,"00:18:48,293","00:18:49,919"
2292,"Oh, come on! He's glad that I came, he doesn't want me to go anywhere, balls flying all over the place!",Rachel,neutral,neutral,226,6,5,7,"00:18:51,880","00:19:01,681"
2293,"Rachel, this is my friend Tom.",Danny,neutral,neutral,226,7,5,7,"00:19:00,055","00:19:01,681"
2294,"Oh, go on! You telling people about me?",Rachel,surprise,positive,226,8,5,7,"00:19:04,726","00:19:07,937"
2295,You two could really hit it off! I'm gonna go mingle.,Danny,joy,positive,226,9,5,7,"00:19:08,147","00:19:12,859"
2296,So you work at,Tom,neutral,neutral,226,10,5,7,"00:19:14,820","00:19:19,365"
2297,"Yeah, okay, at ease solider!",Rachel,neutral,neutral,226,11,5,7,"00:19:25,122","00:19:28,040"
2298,I'm sorry?,Tom,surprise,negative,226,12,5,7,"00:19:29,835","00:19:30,877"
2299,"No, it's all right, you can just drop the act Tommy.",Rachel,neutral,neutral,226,13,5,7,"00:19:31,044","00:19:34,042"
2304,"I'm gonna go talk to uh, a friend.",Tom,sadness,negative,226,17,5,7,"00:19:41,805","00:19:44,473"
2305,"Yeah, yeah, you go talk to your friend. You tell him, ""Nice try.""",Rachel,disgust,negative,226,18,5,7,"00:19:44,683","00:19:49,770"
2306,Man! He just keeps lobbing them up and I just keep knocking them right out of the park!,Rachel,joy,positive,226,19,5,7,"00:19:53,734","00:19:59,447"
2307,I think I need a drink.,Monica,neutral,neutral,226,20,5,7,"00:20:01,491","00:20:02,617"
2308,Yeah!,Rachel,joy,positive,226,21,5,7,"00:20:02,784","00:20:04,285"
2309,"Hey, Pheebs?",Joey,neutral,neutral,227,0,5,1,"00:16:46,338","00:16:47,380"
2310,"No, I can't talk to you! I don't have a fancy ad in the Yellow Pages!",Phoebe,anger,negative,228,0,5,11,"00:16:47,548","00:16:51,843"
2311,"Look, Pheebs, I just, I wanna apologize for, for saying that your method was stupid and-and maybe ask you to be my teacher again.",Joey,sadness,negative,228,1,5,11,"00:16:53,562","00:17:06,566"
2312,"And-and I promise, I won't touch a guitar until you say I'm ready.",Joey,neutral,neutral,228,2,5,11,"00:17:06,734","00:17:10,445"
2313,You really think I'm ready?,Joey,surprise,positive,228,3,5,11,"0:17:19,872","0:17:20,844"
2314,Uh-huh!,Phoebe,joy,positive,228,4,5,11,"0:17:20,844","0:17:22,006"
2315,Wow! Cool!,Joey,joy,positive,228,5,5,11,"00:17:23,250","00:17:25,334"
2316,Was the chord at least right,Joey,neutral,neutral,228,6,5,11,"0:17:45,522","0:17:47,044"
2317,No!,Phoebe,anger,negative,228,7,5,11,"0:17:47,044","0:17:48,488"
2318,"Well, this has been fun.",Jill,neutral,neutral,229,0,1,7,"00:21:42,801","00:21:44,677"
2319,"Yes. Yes, thanks for letting me use your phone... and for saving my life.",Chandler,joy,positive,229,1,1,7,"00:21:44,928","00:21:50,599"
2320,"Well, goodbye Chandler. I had a great blackout.  See ya.",Jill,neutral,neutral,229,2,1,7,"00:21:52,102","00:21:58,065"
2321,"Hi, um, I'm account number 7143457.",Chandler,neutral,neutral,229,3,1,7,"00:22:13,373","00:22:19,545"
2322,"And, uh, I don't know if you got any of that, but I would really like a copy of the tape.",Chandler,neutral,neutral,229,4,1,7,"00:22:19,755","00:22:31,432"
2323,Were beginning to see a lot of layering of sheer fabrics and colours. For instance a sheer navy blouse over a pink....,Lecturer,neutral,neutral,230,0,3,14,"00:13:18,881","00:13:30,767"
2324,Im really glad we came.  Youre so pretty. I love you.,Ross,joy,positive,230,1,3,14,"00:13:22,384","00:13:35,897"
2325,"Okay, thats a fire. Oh yeah. Oh yeah.",Ross,neutral,neutral,231,0,3,15,"00:10:11,027","00:10:15,405"
2326,"Excuse me, Im sorry, Im gonna have to call you back, Ive got a Schemp in my office.",Rachel,neutral,neutral,231,1,3,15,"00:10:15,573","00:10:19,200"
2327,What are you doing?,Rachel,neutral,neutral,231,2,3,15,"0:10:22,455","0:10:23,837"
2328,Im sorry.,Ross,neutral,neutral,231,3,3,15,"0:10:23,837","0:10:24,589"
2329,"But ah, hey, oh, somebodys off the phone, how bout a glass of wine by the fire, I could get it going again.",Ross,neutral,neutral,231,4,3,15,"00:10:24,707","00:10:31,296"
2330,"Ross youre not listening to me, I dont have time to stop.",Rachel,neutral,neutral,231,5,3,15,"00:10:31,464","00:10:35,050"
2331,"Come on Rach, you dont have what, ten minutes?",Ross,neutral,neutral,231,6,3,15,"0:10:35,217","0:10:37,189"
2332,I dont have ten minutes!!,Rachel,anger,negative,231,7,3,15,"0:10:37,189","0:10:38,183"
2333,"What?  Sophie, does she have ten minutes?",Ross,neutral,neutral,231,8,3,15,"0:10:38,304","0:10:39,889"
2334,"Hey, Ross!!! I told you I dont!",Rachel,anger,negative,231,9,3,15,"0:10:39,889","0:10:42,063"
2335,"Dont yell at me okay, this is the most Ive seen you all week.",Ross,sadness,negative,231,10,3,15,"00:10:42,183","00:10:45,644"
2336,"Look, I cannot do this right now, okay, Ive got a deadline, would you just go home, Ill talk to you later.",Rachel,neutral,neutral,231,11,3,15,"00:10:45,811","00:10:52,233"
