Utterance,Speaker,Emotion,Scene_ID,Utterance_ID,Season,Episode,Start_Time,End_Time
"He's in! Oh, did you hear that, Marcel? San Diego. San Diego!",['Ross Geller'],Joyful,10,17,1,21,00:15:12.995,00:15:19.584
Yo- hooo!,['Monica Geller'],Joyful,11,1,1,21,00:15:14.788,00:15:16.623
Where the hell've you been?,['Rachel Green'],Mad,11,2,1,21,00:15:16.790,00:15:19.584
Monica and I just crashed an embassy party.,['Monica Geller'],Joyful,11,3,1,21,00:15:46.779,00:15:54.243
Are you drunk?!,['Rachel Green'],Mad,11,4,1,21,00:15:49.865,00:15:51.115
Noooo! I'm lying. I am so drunk.,['Monica Geller'],Joyful,11,5,1,21,00:15:55.120,00:16:06.756
Monica? Monica!,['Rachel Green'],Neutral,11,8,1,21,00:15:56.789,00:16:04.379
Water rules!,['Monica Geller'],Joyful,11,9,1,21,00:16:03.003,00:16:04.379
Nope. Going to the Big Apple Circus today.,['Monica Geller'],Joyful,11,11,1,21,00:16:31.699,00:16:35.785
"Okay Monica, what are you doing? You're gonna lose your job! This is not you!",['Rachel Green'],Mad,11,12,1,21,00:16:33.409,00:16:39.998
"No, it is me! Y'know, I'm not just the person who needs to fluff the pillows and pay the bills as soon as they come in! Y'know, when I'm with her, I am so much more than that. I'm- I'm Monana!",['Monica Geller'],Joyful,11,13,1,21,00:16:40.165,00:17:01.269
"Hello? Yes, she is, hold on a second, please. Monana, it's for you, the credit card people.",['Rachel Green'],Neutral,11,15,1,21,00:16:52.845,00:17:10.820
Helloooo? Yeah. Oh my God. Thanks.,['Monica Geller'],Joyful,11,16,1,21,00:17:13.615,00:17:24.417
What?,['Rachel Green'],Neutral,11,17,1,21,00:17:17.036,00:17:18.661
They've arrested Monica.,['Monica Geller'],Neutral,11,18,1,21,00:17:20.122,00:17:22.040
Hi.,['Monica Geller'],Neutral,12,1,1,21,00:17:22.916,00:17:24.417
Hey.,['Fake Monica'],Neutral,12,2,1,21,00:17:25.419,00:17:26.919
How are you?,['Monica Geller'],Neutral,12,3,1,21,00:17:27.087,00:17:29.547
"I'm not too bad. Fortunately, blue's my colour. How-how did you know I was here?",['Fake Monica'],Neutral,12,4,1,21,00:17:40.017,00:17:49.776
Because... I'm Monica Geller. It was my credit card you were using.,['Monica Geller'],Mad,12,5,1,21,00:17:48.442,00:17:59.702
That I was not expecting.,['Fake Monica'],Scared,12,6,1,21,00:17:51.862,00:17:59.702
"I want you to know, it wasn't me who turned you in.",['Monica Geller'],Sad,12,7,1,21,00:17:59.870,00:18:05.041
Oh. Thanks.,['Fake Monica'],Neutral,12,8,1,21,00:18:02.414,00:18:05.041
"Well, actually, you only got to sing 'Memo-'.",['Fake Monica'],Neutral,12,10,1,21,00:18:17.930,00:18:26.395
"Monica, I started my day by peeing in front of twenty-five other women, and you're worried about who's gonna take you to the Big Apple Circus?",['Fake Monica'],Joyful,12,12,1,21,00:18:29.274,00:18:41.077
"Well, not... worried, just... wondering.",['Monica Geller'],Sad,12,13,1,21,00:18:32.152,00:18:36.572
"There's nothing to wonder about, Monica. You're gonna go back to being exactly who you were, because that's who you are.",['Fake Monica'],Neutral,12,14,1,21,00:18:42.204,00:18:52.547
Not necessarily...,['Monica Geller'],Neutral,12,15,1,21,00:18:46.083,00:18:48.584
"Yes necessarily! I mean, I dunno what it is, maybe it's the Amish thing.",['Fake Monica'],Joyful,12,16,1,21,00:18:53.090,00:18:58.469
"Um, I'm not actually Amish.",['Monica Geller'],Neutral,12,17,1,21,00:18:55.884,00:18:58.469
Really? Then why are you like that?,['Fake Monica'],Neutral,12,18,1,21,00:19:01.723,00:19:07.311
"This is the final boarding call for flight 67 to San Diego, boarding at gate 42A.",['Announcement'],Neutral,14,1,1,21,00:19:26.999,00:19:56.485
"Okay. Good-bye, little monkey guy. Alright, I wrote you this poem. Okay, but don't eat it 'till you get on the plane.",['Phoebe Buffay'],Sad,14,2,1,21,00:19:56.653,00:20:07.872
"Aww. Thank you, Aunt Phoebe.",['Ross Geller'],Peaceful,14,3,1,21,00:19:59.156,00:20:01.532
Oh!,['Phoebe Buffay'],Neutral,14,4,1,21,00:20:01.700,00:20:04.994
"Okay, bye, champ. Now, I know there's gonna be a lot of babes in San Diego, but remember, there's also a lot to learn.",['Chandler Bing'],Neutral,14,5,1,21,00:20:08.040,00:20:23.137
"I dunno what to say, Ross. Uh, it's a monkey.",['Joey Tribbiani'],Neutral,14,6,1,21,00:20:19.593,00:20:32.563
"Just, just say what you feel.",['Ross Geller'],Neutral,14,7,1,21,00:20:28.936,00:20:32.563
"Marcel, I'm hungry.",['Joey Tribbiani'],Neutral,14,8,1,21,00:20:32.731,00:20:36.025
That was good.,['Ross Geller'],Neutral,14,9,1,21,00:20:37.236,00:20:38.819
"Marcel, this is for you. It's, uh, just, y'know, something to, um, do on the plane.",['Rachel Green'],Peaceful,14,10,1,21,00:20:39.821,00:20:50.498
"Uh, if you guys don't mind, I'd like to take a moment, just me and him.",['Ross Geller'],Peaceful,14,11,1,21,00:20:46.620,00:20:59.215
"Oh, sure. Sure, absolutely.",['#ALL#'],Neutral,14,12,1,21,00:20:51.250,00:20:53.376
"Oh, that I were a glove upon that hand, that I might... touch thy cheek...",['Actor'],Scared,15,1,1,21,00:22:09.369,00:22:17.043
"That's fine, thank you.",['Casting Director No. 1'],Neutral,15,2,1,21,00:22:13.332,00:22:17.043
Next.,['Casting Director No. 2'],Neutral,15,3,1,21,00:22:17.210,00:22:19.879
"Hi, uh, I'll be reading for the role of Mercutio.",['Joey Tribbiani'],Scared,15,4,1,21,00:22:20.047,00:22:28.346
Name?,['Casting Director No. 2'],Neutral,15,5,1,21,00:22:25.552,00:22:28.346
Holden McGroin.,['Joey Tribbiani'],Neutral,15,6,1,21,00:22:28.513,00:22:31.474
Tell him.,['Monica Geller'],Powerful,1,1,1,22,00:00:02.127,00:00:03.919
No.,['Rachel Green'],Neutral,1,2,1,22,00:00:04.087,00:00:06.380
"Tell him, tell him.",['Phoebe Buffay'],Powerful,1,3,1,22,00:00:06.548,00:00:08.882
Just...please tell him.,['Monica Geller'],Powerful,1,4,1,22,00:00:09.050,00:00:12.094
Shut up!,['Rachel Green'],Mad,1,5,1,22,00:00:12.262,00:00:13.762
Tell me what?,['Chandler Bing'],Scared,1,6,1,22,00:00:13.930,00:00:15.806
Doing it on this table.,['Phoebe Buffay'],Joyful,1,10,1,22,00:00:15.974,00:00:19.476
Wow!,['Chandler Bing'],Joyful,1,11,1,22,00:00:19.644,00:00:21.520
Exellent dream score.,['Joey Tribbiani'],Joyful,1,12,1,22,00:00:22.647,00:00:26.608
"Why, why, why would you dream that?",['Ross Geller'],Scared,1,13,1,22,00:00:28.987,00:00:36.535
"More importantly, was I any good?",['Chandler Bing'],Joyful,1,14,1,22,00:00:33.616,00:00:36.535
"Well, you were pretty damn good.",['Rachel Green'],Joyful,1,15,1,22,00:00:37.954,00:00:40.664
"Interesting, cause in my dreams, I'm allways surprisingly inadequate.",['Chandler Bing'],Joyful,1,16,1,22,00:00:40.832,00:00:50.049
"Well, last night you seemed to know your way around the table.",['Rachel Green'],Joyful,1,17,1,22,00:00:46.379,00:00:50.049
"I love it, when we share.",['Ross Geller'],Joyful,1,18,1,22,00:00:51.384,00:00:55.846
You're okay there?,['Chandler Bing'],Scared,1,20,1,22,00:00:53.511,00:00:55.846
I can't belive you two had sex in her dream.,['Ross Geller'],Mad,1,21,1,22,00:00:59.893,00:01:03.312
"I'm sorry, it was a one-time-thing. I was very drunk and i was somebody else's subconscious.",['Chandler Bing'],Joyful,1,22,1,22,00:01:04.981,00:01:10.527
Can you hear that?,['Chandler Bing'],Scared,3,1,1,22,00:01:07.025,00:01:10.527
Yeah?,['Phoebe Buffay'],Neutral,3,2,1,22,00:02:00.703,00:02:02.412
See that'll stop when you pick up the phone.,['Chandler Bing'],Neutral,3,3,1,22,00:04:21.344,00:04:29.101
"Oh. Uh, I'm on.",['Phoebe Buffay'],Scared,3,4,1,22,00:04:23.846,00:04:29.101
"Mr. Bing's office. No I'm sorry, he's in a meeting right now.",['Phoebe Buffay'],Powerful,3,5,1,22,00:04:31.229,00:04:42.447
I'm not in a meeting. I'm right... Whoops.,['Chandler Bing'],Scared,3,6,1,22,00:04:35.942,00:04:42.447
"Will he know what this is in reference to? And he has your number? All right, I'll see that he gets the message. Bye bye.",['Phoebe Buffay'],Joyful,3,7,1,22,00:04:42.615,00:04:51.957
What?,['Chandler Bing'],Neutral,3,8,1,22,00:04:44.492,00:04:47.160
Ross says hi.,['Phoebe Buffay'],Joyful,3,9,1,22,00:04:47.328,00:04:48.996
Ah!,['Chandler Bing'],Joyful,3,10,1,22,00:04:49.205,00:04:51.957
"This is so fun. All right, what do we do now?",['Phoebe Buffay'],Joyful,3,11,1,22,00:04:54.836,00:05:00.674
"Well, now, I actually have to get to work.",['Chandler Bing'],Neutral,3,12,1,22,00:05:00.883,00:05:03.885
"Most likely. Okay, I'm gonna be out there.",['Phoebe Buffay'],Neutral,3,13,1,22,00:05:04.053,00:05:11.977
Okay.,['Chandler Bing'],Neutral,3,14,1,22,00:05:05.930,00:05:07.681
All right. Bye bye.,['Phoebe Buffay'],Neutral,3,15,1,22,00:05:09.684,00:05:11.977
Bye bye.,['Chandler Bing'],Neutral,3,16,1,22,00:05:12.145,00:05:15.981
Yes?,['Chandler Bing'],Neutral,3,18,1,22,00:05:18.401,00:05:19.735
Whatcha doin'?,['Phoebe Buffay'],Joyful,3,19,1,22,00:05:21.529,00:05:24.448
Ooh.,['Chandler Bing'],Neutral,3,20,1,22,00:05:22.739,00:05:24.448
"Just a touch. Mon, I don't understand. I mean, you've been dating this guy since like, what... his midterms? I mean, why all the sudden are you so... Oh.",['Rachel Green'],Joyful,4,2,1,22,00:05:38.087,00:05:51.391
What?,['Monica Geller'],Scared,4,3,1,22,00:05:42.133,00:05:43.258
Could tonight be the Night?,['Rachel Green'],Joyful,4,4,1,22,00:05:43.426,00:05:47.346
"I don't know. Look he's a great guy and I love being with him but... you know. Things happen, and they happen. You don't plan these things.",['Monica Geller'],Scared,4,5,1,22,00:06:01.527,00:06:11.620
"So, did you shave your legs?",['Rachel Green'],Joyful,4,6,1,22,00:06:02.862,00:06:08.200
Yeah.,['Monica Geller'],Neutral,4,7,1,22,00:06:08.368,00:06:09.951
A-ha!,['Rachel Green'],Joyful,4,8,1,22,00:06:10.119,00:06:11.620
"What we did was wrong. Oh god, I just had sex with somebody that wasn't alive during the Bicentennial.",['Monica Geller'],Scared,7,1,1,22,00:12:10.896,00:12:38.965
I just had sex.,['Ethan'],Joyful,7,2,1,22,00:12:12.773,00:12:15.024
"Ethan, focus. How could you not tell me?",['Monica Geller'],Scared,7,3,1,22,00:12:40.718,00:12:48.516
"Well, you never told me how old you were.",['Ethan'],Neutral,7,4,1,22,00:12:45.181,00:12:51.352
"Well, that's different. My lie didn't make one of us a felon in 48 states. What were you thinking?",['Monica Geller'],Scared,7,5,1,22,00:12:48.684,00:12:54.856
I wasn't thinking. I was too busy fallin'...,['Ethan'],Joyful,7,6,1,22,00:12:56.442,00:12:59.527
Don't say it.,['Monica Geller'],Mad,7,7,1,22,00:12:59.695,00:13:01.780
...in love with you.,['Ethan'],Joyful,7,8,1,22,00:13:03.365,00:13:09.162
Really?,['Monica Geller'],Neutral,7,9,1,22,00:13:04.950,00:13:06.951
Sorry.,['Ethan'],Sad,7,10,1,22,00:13:07.745,00:13:09.162
"Well,fall out of it. You know, you shouldn't even be here, it's a school night. Oh god, oh god. I'm like those women that you see with shiny guys named Chad. I'm Joan Collins.",['Monica Geller'],Mad,7,11,1,22,00:13:09.330,00:13:43.321
Who?,['Ethan'],Neutral,7,12,1,22,00:13:14.752,00:13:16.669
"I Think last night was great. You know, the Karaoke thing. Tracy and I doing Ebony and Ivory.",['Chandler Bing'],Joyful,9,1,1,22,00:16:58.892,00:17:03.104
You were great. But they still made fun of you.,['Phoebe Buffay'],Neutral,9,2,1,22,00:17:03.272,00:17:07.316
What?,['Chandler Bing'],Neutral,9,3,1,22,00:17:04.523,00:17:07.316
"Then, I don't get it.",['Chandler Bing'],Neutral,9,5,1,22,00:17:07.985,00:17:10.862
"Well, you know what Chandler? I think you've gotta face it. You're like, the guy in the big office, you know. You're the one that hires them, that fires them... They still say you're a great boss.",['Phoebe Buffay'],Powerful,9,6,1,22,00:17:16.869,00:17:31.841
They do?,['Chandler Bing'],Neutral,9,7,1,22,00:17:19.413,00:17:23.207
Uh huh. But they're not your friends anymore.,['Phoebe Buffay'],Neutral,9,8,1,22,00:17:32.009,00:17:37.555
I just wan't to...,['Chandler Bing'],Neutral,9,9,1,22,00:17:33.260,00:17:35.511
"No, but you can't.",['Phoebe Buffay'],Neutral,9,10,1,22,00:17:35.679,00:17:37.555
But I just wa...,['Chandler Bing'],Neutral,9,11,1,22,00:17:38.640,00:17:39.891
Uh uh.,['Phoebe Buffay'],Neutral,9,12,1,22,00:17:46.899,00:17:48.524
Aren't you gonna...,['Monica Geller'],Neutral,10,1,1,22,00:17:50.736,00:17:51.778
"Oh, Carol and I have a new system. If she punches in 911, it means she's having a baby, otherwise I just ignore it.",['Ross Geller'],Neutral,10,2,1,22,00:17:51.945,00:18:00.870
What about Andre?,['Joey Tribbiani'],Neutral,10,3,1,22,00:17:53.697,00:17:57.450
"Oh, well this morning he got a call from who I think was our cousin Nathan, and frankly, it was a little more than I needed to know.",['Ross Geller'],Neutral,10,4,1,22,00:17:57.618,00:18:07.043
Hey.,['Ethan'],Neutral,10,6,1,22,00:18:01.038,00:18:04.123
That was gonna be my opener.,['Monica Geller'],Neutral,10,7,1,22,00:18:04.291,00:18:07.043
"Hey, did you guys check out those new hand-dryers in the bathroom?",['Rachel Green'],Neutral,10,8,1,22,00:18:13.509,00:18:22.475
I thought that was just a rumour.,['Ross Geller'],Neutral,10,9,1,22,00:18:15.761,00:18:22.475
True story.,['Rachel Green'],Neutral,10,10,1,22,00:18:18.472,00:18:22.475
They're here already?,['Joey Tribbiani'],Neutral,10,11,1,22,00:18:22.643,00:18:25.394
It was.,['Monica Geller'],Neutral,10,14,1,22,00:18:29.233,00:18:31.359
"Then, what's the problem?",['Ethan'],Neutral,10,15,1,22,00:18:31.527,00:18:35.446
"Ethan, it's um... it's icky.",['Monica Geller'],Neutral,10,16,1,22,00:18:32.778,00:18:35.446
Icky? You're actually gonna throw this away because it's icky?,['Ethan'],Scared,10,17,1,22,00:18:57.010,00:19:08.479
"No, don't say it.",['Ethan'],Neutral,10,19,1,22,00:19:00.973,00:19:08.479
...love you.,['Monica Geller'],Joyful,10,20,1,22,00:19:03.225,00:19:08.479
Are you're hands still wet?,['Ross Geller'],Neutral,10,22,1,22,00:19:04.893,00:19:08.479
"Uh, moist, yeah.",['Joey Tribbiani'],Neutral,10,23,1,22,00:19:09.648,00:19:11.816
Let's dry 'em again.,['Rachel Green'],Neutral,10,24,1,22,00:19:11.984,00:19:13.568
"Uh, like, could these margaritas be any stronger? Hey, Chandler.",['Gerston'],Mad,11,1,1,22,00:19:31.128,00:19:42.722
"Hello, Mr. Bing.",['Santos'],Neutral,11,2,1,22,00:19:38.969,00:19:42.722
Loved your Stevie Wonder last night.,['Petrie'],Joyful,11,3,1,22,00:19:44.850,00:19:50.271
"Thanks. Listen, about the weekly numbers, I'm gonna need them on my desk by nine o'clock.",['Chandler Bing'],Scared,11,4,1,22,00:19:47.811,00:19:55.359
Sure.,['Santos'],Neutral,11,5,1,22,00:19:51.899,00:19:55.359
No problem.,['Gerston'],Neutral,11,6,1,22,00:19:55.527,00:19:57.153
"You have to give 'em something, you know. Okay, now that was Gerston, Santos, and who's the guy with the moustache?",['Chandler Bing'],Neutral,11,8,1,22,00:19:57.321,00:20:07.830
Petrie.,['Phoebe Buffay'],Joyful,11,9,1,22,00:20:02.492,00:20:04.410
"Petrie, right, right. Okay, some people gonna be working this weekend.",['Chandler Bing'],Neutral,11,10,1,22,00:20:07.998,00:20:12.877
"Oooooooooh. Oh, that's nice. Oh, oh. Huh, Ross!",['Rachel Green'],Peaceful,12,1,1,22,00:20:13.045,00:20:46.160
Ross?,['Rachel Green'],Peaceful,12,3,1,22,00:20:20.677,00:20:22.220
I'm here.,['Ross Geller'],Peaceful,12,4,1,22,00:20:39.196,00:20:46.160
"You are. Well, um... We, we, we were just... Wow!",['Rachel Green'],Joyful,12,5,1,22,00:20:48.288,00:21:16.399
"What? Great, now I'm having a baby.",['Ross Geller'],Joyful,12,6,1,22,00:21:16.566,00:21:23.614
What?,['Rachel Green'],Scared,12,7,1,22,00:21:18.193,00:21:20.194
"Ooh, Ooh.",['Ross Geller'],Joyful,12,8,1,22,00:21:21.029,00:21:23.614
What?,['Rachel Green'],Joyful,12,9,1,22,00:21:24.574,00:21:26.325
I'm having... I'm having a baby. I'm having a... Where's the phone? The phone?,['Ross Geller'],Scared,12,10,1,22,00:21:26.493,00:21:29.912
I don't know where the phone is.,['Rachel Green'],Neutral,12,11,1,22,00:21:28.578,00:21:32.957
Ross?,['Rachel Green'],Sad,12,13,1,22,00:21:30.080,00:21:32.957
I'm hurt.,['Ross Geller'],Sad,12,14,1,22,00:21:35.877,00:21:38.796
"Monica, let's go. Come on now people, woman in labor.",['Ross Geller'],Scared,13,1,1,22,00:21:43.302,00:21:46.178
"Hey Ross, look what I've got going here.",['Chandler Bing'],Joyful,13,3,1,22,00:21:46.346,00:21:50.099
"Yeah, save it for the cab, okay.",['Ross Geller'],Neutral,13,4,1,22,00:22:00.694,00:22:04.530
"Joey, get out of the fridge.",['Ross Geller'],Mad,13,8,1,22,00:22:13.749,00:22:17.710
"All right, all right.",['Joey Tribbiani'],Neutral,13,9,1,22,00:22:15.625,00:22:17.710
What is that?,['Ross Geller'],Neutral,13,10,1,22,00:22:17.878,00:22:18.919
For the ride.,['Joey Tribbiani'],Neutral,13,11,1,22,00:22:19.087,00:22:21.339
"Yeah, like in a cab...",['Chandler Bing'],Neutral,13,12,1,22,00:22:28.472,00:22:30.723
Save it.,['Ross Geller'],Neutral,13,13,1,22,00:22:30.932,00:22:32.933
"Okay, hating this.",['Chandler Bing'],Mad,13,14,1,22,00:22:38.190,00:22:40.191
I'm sure everything's fine. Has her water broke yet?,['Monica Geller'],Neutral,1,2,1,23,00:00:11.553,00:00:14.471
Do we have to know about that?,['Joey Tribbiani'],Neutral,1,5,1,23,00:00:17.934,00:00:23.272
"Joey, what are you gonna do when you have a baby?",['Monica Geller'],Neutral,1,6,1,23,00:00:21.187,00:00:25.816
"I'm gonna be in the waitin' room, handing out cigars.",['Joey Tribbiani'],Joyful,1,7,1,23,00:00:25.984,00:00:29.737
"Yes, Joey's made arrangements to have his baby in a movie from the 50's.",['Chandler Bing'],Joyful,1,8,1,23,00:00:29.946,00:00:33.866
"God, I don't believe this. She could be giving birth in the cab.",['Ross Geller'],Scared,1,9,1,23,00:00:35.452,00:00:39.121
"Oh, Ross, relax. It's probably like two dollars for the first contraction, and then fifty cents for each additional contraction.",['Rachel Green'],Neutral,1,10,1,23,00:00:39.289,00:00:49.673
"What, it's ok when Chandler does it?",['Rachel Green'],Powerful,1,12,1,23,00:00:47.672,00:00:49.673
You have to pick your moments.,['Chandler Bing'],Joyful,1,13,1,23,00:00:50.884,00:00:52.676
"Did I miss it, did I miss it?",['Phoebe Buffay'],Joyful,1,15,1,23,00:00:54.054,00:00:56.555
She's not even here yet.,['Ross Geller'],Scared,1,16,1,23,00:00:56.723,00:00:58.515
What's with the guitar?,['Monica Geller'],Neutral,1,17,1,23,00:00:58.683,00:01:02.561
Where the hell have you been?,['Ross Geller'],Mad,1,20,1,23,00:01:02.771,00:01:06.732
We stopped at the gift shop.,['Susan Bunch'],Peaceful,1,21,1,23,00:01:03.980,00:01:06.732
"I was looking at stuffed animals, and Susan wanted a Chunky.",['Carol Willick'],Peaceful,1,22,1,23,00:01:06.900,00:01:09.651
"Susan wanted a Chunky. We're having a baby, ok, a baby, you don't stop for Chunkys.",['Ross Geller'],Mad,1,23,1,23,00:01:09.819,00:01:16.617
I used to have that bumper sticker.,['Chandler Bing'],Joyful,1,24,1,23,00:01:13.865,00:01:16.617
You see what I mean.,['Chandler Bing'],Mad,1,26,1,23,00:01:17.285,00:01:18.494
Stopped for a Chunky.,['Ross Geller'],Neutral,2,1,1,23,00:02:06.376,00:02:09.795
"Let it go, Ross.",['Carol Willick'],Neutral,2,2,1,23,00:02:09.963,00:02:12.005
I got an extra one. You want this?,['Susan Bunch'],Neutral,2,3,1,23,00:03:17.447,00:03:30.751
No.,['Ross Geller'],Sad,2,4,1,23,00:03:25.914,00:03:27.456
"Dr. Franzblau, hi.",['Ross Geller'],Neutral,2,7,1,23,00:03:27.624,00:03:30.751
"59 seconds. Quartz, ha.",['Ross Geller'],Neutral,2,11,1,23,00:03:31.669,00:03:33.503
"Swiss quartz, ha, ha.",['Susan Bunch'],Neutral,2,12,1,23,00:03:33.755,00:03:37.049
Am I allowed to drink anything?,['Carol Willick'],Neutral,2,13,1,23,00:03:44.474,00:03:47.643
I'll get it.,['Ross Geller'],Powerful,2,15,1,23,00:03:47.852,00:03:53.440
I got itI'm getting it!,['Ross Geller'],Powerful,2,17,1,23,00:03:50.480,00:03:53.440
Thanks.,['Carol Willick'],Peaceful,2,20,1,23,00:03:53.608,00:03:56.443
"Oh, that's funny!",['Rachel Green'],Joyful,2,23,1,23,00:03:56.611,00:03:58.111
I want a baby.,['Monica Geller'],Neutral,3,1,1,23,00:03:58.279,00:04:03.617
Get up. Come on. Let's get some coffee.,['Monica Geller'],Joyful,3,3,1,23,00:09:32.947,00:09:38.410
"Oh, ok, 'cause we never do that.",['Chandler Bing'],Sad,3,4,1,23,00:10:28.085,00:10:31.254
Knick fan?,['Lydia'],Neutral,3,8,1,23,00:10:31.422,00:10:32.839
"Oh, yeah.",['Joey Tribbiani'],Neutral,3,9,1,23,00:10:33.007,00:10:36.509
"Oh, boy, do they suck.",['Lydia'],Neutral,3,10,1,23,00:10:36.677,00:10:40.138
"Hey, listen, lady.... ...whoa.",['Joey Tribbiani'],Scared,3,11,1,23,00:10:40.348,00:10:44.601
Oh yeah? And who do you like?,['Joey Tribbiani'],Neutral,3,13,1,23,00:11:40.449,00:11:42.575
The Celtics.,['Lydia'],Powerful,3,14,1,23,00:11:42.743,00:11:45.120
There is no father.,['Lydia'],Neutral,3,18,1,23,00:11:45.287,00:11:47.122
"Oh, oh, oh, sorry.",['Joey Tribbiani'],Sad,3,19,1,23,00:11:47.289,00:11:53.753
"Ok, that's ok. I'm fine. I'm... oh!",['Lydia'],Scared,3,20,1,23,00:13:09.622,00:13:17.754
Ok.,['Lydia'],Neutral,3,22,1,23,00:13:13.042,00:13:17.754
Tribbiani.,['Joey Tribbiani'],Neutral,5,2,1,23,00:13:25.888,00:13:29.390
She's not much of a phone person.,['Lydia'],Neutral,5,5,1,23,00:17:25.085,00:17:29.464
Maybe you should.,['Lydia'],Neutral,5,9,1,23,00:17:29.631,00:17:31.340
"Good luck, and uh, take care, huh?",['Joey Tribbiani'],Neutral,5,10,1,23,00:17:31.508,00:17:33.676
"Oh, that is so not true.",['Lydia'],Mad,5,13,1,23,00:17:46.398,00:17:54.489
"Oh, it is.",['Joey Tribbiani'],Neutral,5,14,1,23,00:17:49.902,00:17:51.319
It isn't.,['Lydia'],Mad,5,15,1,23,00:17:51.487,00:17:54.489
It is.,['Joey Tribbiani'],Neutral,5,16,1,23,00:17:55.783,00:17:57.825
Isn't!,['Lydia'],Mad,5,17,1,23,00:17:58.035,00:17:59.952
"Breathe, breathe, breathe...",['Nurse Sizemore'],Scared,7,1,1,23,00:18:00.120,00:18:02.121
"Oh, no.",['Lydia'],Scared,7,2,1,23,00:18:02.289,00:18:04.248
Ew! What is that? Something exploded!,['Joey Tribbiani'],Scared,7,4,1,23,00:18:27.147,00:18:31.859
"Breathe, breathe, breathe.",['Nurse Sizemore'],Peaceful,7,7,1,23,00:18:28.649,00:18:31.859
Please. This is so your fault.,['Ross Geller'],Neutral,8,1,1,23,00:18:40.911,00:18:53.673
"How, how is this my fault?",['Susan Bunch'],Scared,8,2,1,23,00:18:49.002,00:18:53.673
You tryin' to be clever? A funny lady?,['Ross Geller'],Neutral,8,5,1,23,00:20:17.925,00:20:32.772
"Oh, I'm threatened by you?",['Ross Geller'],Mad,8,7,1,23,00:20:21.178,00:20:23.054
Yes.,['Susan Bunch'],Neutral,8,8,1,23,00:20:27.684,00:20:29.268
"Yeah, Susan.",['Ross Geller'],Neutral,8,11,1,23,00:20:29.436,00:20:32.772
Are they here yet?,['Carol Willick'],Neutral,10,1,1,23,00:20:32.940,00:20:35.650
Ok.,['Carol Willick'],Neutral,10,3,1,23,00:20:35.817,00:20:37.401
Ok?,['Rachel Green'],Neutral,10,4,1,23,00:20:37.569,00:20:39.820
Ok.,['Carol Willick'],Neutral,10,5,1,23,00:20:39.988,00:20:42.949
Oh.,['Rachel Green'],Neutral,14,6,1,23,00:20:43.742,00:20:45.576
I'm a waitress.,['Rachel Green'],Neutral,14,8,1,23,00:20:46.662,00:20:50.539
Yeah. Gotcha.,['Rachel Green'],Neutral,14,10,1,23,00:20:50.707,00:20:52.375
Ok. That's fine.,['Rachel Green'],Neutral,14,12,1,23,00:20:55.796,00:20:58.464
"No, this is a loaner.",['Lydia'],Neutral,15,3,1,23,00:21:01.009,00:21:09.016
"Yeah, they're not so bad.",['Lydia'],Neutral,15,7,1,23,00:21:03.971,00:21:09.016
Every day is Lesbian Lover Day.,['Ross Geller'],Joyful,16,5,1,23,00:21:17.651,00:21:22.238
This is so great.,['Phoebe Buffay'],Joyful,16,6,1,23,00:21:19.778,00:21:22.238
You wanna explain that?,['Ross Geller'],Neutral,16,7,1,23,00:21:22.406,00:21:31.664
Where are they?,['Carol Willick'],Neutral,17,1,1,23,00:21:26.118,00:21:31.664
"Yeah, honey, they wouldn't miss this.",['Rachel Green'],Neutral,17,3,1,23,00:21:43.719,00:21:46.554
You are really frightening me.,['Chandler Bing'],Scared,17,5,1,23,00:21:53.812,00:21:56.981
"All right, ten centimeters, here we go.",['Dr. Franzblau'],Neutral,17,8,1,23,00:21:57.524,00:21:59.984
But they're not here yet!,['Carol Willick'],Scared,17,10,1,23,00:22:08.910,00:22:13.789
"Oh, god.",['Carol Willick'],Scared,17,12,1,23,00:22:10.871,00:22:13.789
"Ok, got the vent open.",['Ross Geller'],Neutral,18,1,1,23,00:22:13.957,00:22:29.889
What do you see?,['Susan Bunch'],Joyful,18,5,1,23,00:22:27.888,00:22:32.558
"Phoebs, It's open! It's open!",['Ross Geller'],Joyful,18,8,1,23,00:22:31.350,00:22:35.561
Wait! You forgot your legs!,['Janitor'],Powerful,18,10,1,23,00:22:32.726,00:22:35.561
"Push, push!",['#ALL#'],Powerful,19,1,1,23,00:22:36.521,00:22:38.522
And here's little Ben nodding off...,['Ross Geller'],Neutral,1,1,1,24,00:00:02.752,00:00:04.795
"Awww, look at Aunt Monica's little boy!",['Monica Geller'],Joyful,1,2,1,24,00:00:05.005,00:00:07.840
"Oh, look, he's got Ross's haircut!",['Phoebe Buffay'],Joyful,1,3,1,24,00:00:08.049,00:00:11.593
"Oh, let me see! Oh, God, is he just the sweetest thing? You must just want to kiss him all over!",['Rachel Green'],Joyful,1,4,1,24,00:00:12.262,00:00:24.481
That would be nice.,['Ross Geller'],Sad,1,6,1,24,00:00:15.432,00:00:18.475
Pardon?,['Rachel Green'],Neutral,1,8,1,24,00:00:22.522,00:00:24.481
"Nothing, just a little extra air in my mouth. Pffft. Pffffffft.",['Chandler Bing'],Neutral,1,9,1,24,00:00:26.192,00:00:31.864
"Hey, Chan, can you help me out here? I promise I'll pay you back.",['Joey Tribbiani'],Neutral,1,11,1,24,00:00:28.528,00:00:40.164
